1,2,2-1,3-1,3-2,3-3,3-4,3-5,4,4-1,5-1,5-2,6,7,8,9,10,11,12,13,14-1,14-2,14-3,15,16,17,18,19,20-1,20-2,20-3,21,22,23,24-1,24-2,24-3,25,26-1,26-2,27,학과/전공,성별,연령,학년
1,2,,5,3,4,5,4,1,1,,,5,2,4,2,1,4,3,1,1,2,3,4,4,2,1,1,1,10,19,4,3,1,4,3,5,2,2,2,,역사교육과,1,24,4
1,2,,5,4,4,5,4,1,1,4,,5,2,5,3,4,7,1,2,1,3,4,1,2,3,1,1,4,10,7,3,3,4,4,6,2,4,2,2,,역사교육과,2,22,4
1,1,,5,5,5,5,5,1,1,1,,5,3,1,1,4,2,4,2,1,2,,1,3,2,1,1,1,4,13,2,2,1,1,2,3,2,1,1,사교육 지원비를 더욱 많이 해주었으면 좋겠습니다. 사교육 인강비가 적은 돈이 들어가는 것이 아니기 때문에 지원을 더 많이 해주었으면 좋겠습니다.,역사교육과,2,22,4
1,1,,5,5,3,5,4,1,1,3,5,5,4,1,5,5,4,2,1,3,2,1,1,3,1,1,1,4,8,1,2,1,5,4,3,5,1,1,,,역사교육과,2,21,4
1,3,,4,3,2,3,3,1,1,6,,5,3,4,3,4,5,2,2,1,2,3,1,1,3,1,1,6,7,17,2,2,4,7,4,2,5,1,1,전문가 초청 및 설명회,역사교육과,1,25,4
2,2,,3,4,2,4,4,1,1,1,,3,5,4,3,4,1,1,1,1,2,7,1,3,2,1,1,10,4,12,3,3,4,2,3,6,2,2,2,,역사교육과,1,22,4
5,2,3,3,4,4,3,4,1,1,1,,5,5,4,3,1,1,2,1,1,2,3,1,3,3,1,1,1,17,4,2,3,1,5,2,1,3,1,1,,역사교육과,2,23,4
1,1,,5,4,3,5,4,1,1,1,,5,5,5,4,2,5,5,2,1,1,2,3,1,3,3,1,8,10,17,3,3,3,1,3,5,2,2,2,,역사교육과,2,19,2
1,1,,4,4,2,5,3,1,1,4,,5,4,4,3,1,1,2,1,1,2,3,3,2,2,1,1,1,10,17,1,1,5,3,2,1,1,1,1,,역사교육과,1,21,2
1,1,,4,3,3,4,4,1,1,4,,6,4,4,3,5,1,1,2,2,1,7,1,3,3,4,1,1,17,8,4,4,1,1,4,5,2,1,1,,역사교육과,1,19,2
5,1,,3,2,3,4,4,1,,6,,5,5,4,3,1,1,1,1,1,4,5,1,3,3,3,1,12,17,4,2,3,1,2,4,1,3,1,1,,역사교육과,1,19,2
1,1,,5,2,2,5,2,1,1,4,,5,4,4,3,1,2,4,2,1,2,7,1,2,5,1,1,4,3,9,1,4,1,6,4,1,5,2,2,,역사교육과,1,21,2
1,1,,5,3,4,5,3,1,1,1,,5,3,4,3,1,1,1,1,1,2,3,3,2,3,1,1,17,1,19,3,4,1,2,5,6,3,2,2,,역사교육과,2,19,2
3,1,,5,4,4,5,4,1,1,3,,1,4,4,4,1,5,1,1,1,2,7,9,2,3,1,1,17,1,12,2,2,1,1,3,5,2,1,1,,역사교육과,2,20,2
1,1,,5,4,3,4,3,1,1,1,,5,5,4,4,1,4,1,2,1,2,3,1,2,4,1,1,1,2,4,4,5,1,2,4,5,2,1,1,,역사교육과,1,19,2
1,1,,5,3,2,5,1,1,1,4,,6,4,4,4,1,3,7,2,1,2,5,1,1,2,1,1,1,17,4,3,3,1,2,1,7,5,2,2,취업을 통한 선배멘토링,역사교육과,1,19,2
1,2,1,4,3,3,4,4,3,2,3,,1,3,3,4,1,5,1,2,1,2,3,1,2,1,1,1,1,17,3,2,3,1,4,6,5,2,2,2,,역사교육과,1,19,1
1,1,,5,3,3,4,3,1,1,1,,5,3,3,4,1,5,1,2,1,2,7,1,4,1,1,1,17,13,2,2,2,1,1,4,6,3,1,1,,역사교육과,1,18,1
1,3,5,3,4,4,4,4,3,1,2,,1,5,4,3,1,1,1,3,1,7,2,3,1,2,1,1,4,12,10,3,3,1,1,2,4,1,2,2,,생물교육과,2,19,1
1,2,,4,4,4,4,3,1,1,5,,5,3,3,3,1,1,1,2,1,2,7,1,3,1,2,1,1,7,4,3,4,1,3,7,2,3,1,1,,생물교육과,1,18,1
5,4,3,5,4,4,5,3,1,1,1,,5,2,4,2,1,5,3,1,1,2,3,1,3,2,1,1,1,2,3,3,4,1,7,3,4,2,2,1,,생물교육과,2,19,1
1,1,,5,5,4,5,4,1,1,4,,1,5,3,3,1,2,4,3,1,2,7,6,1,3,1,1,4,13,19,4,4,1,1,4,7,2,2,2,,생물교육과,2,19,1
1,1,,5,5,4,5,3,1,1,1,,1,5,3,3,1,3,5,2,1,2,7,1,3,3,1,1,4,1,13,3,3,1,1,7,3,3,1,2,,생물교육과,1,18,1
1,1,,5,5,3,5,3,1,1,1,,5,3,4,3,1,5,1,3,1,2,3,1,1,1,2,1,4,1,13,4,4,1,1,4,7,2,2,2,,생물교육과,2,19,1
1,1,,1,3,3,2,2,1,,4,,5,3,3,2,1,5,1,1,1,2,3,1,1,2,1,1,4,8,19,2,3,1,2,4,6,1,2,2,,생물교육과,2,18,1
3,1,6,4,3,3,3,3,1,3,4,,3,4,3,3,3,5,4,4,1,2,9,6,3,3,3,1,1,7,3,3,4,3,1,7,4,2,1,1,,생물교육과,1,19,1
4,1,5,3,4,4,3,4,1,1,1,,5,3,2,4,1,1,2,2,1,2,7,8,2,1,1,1,1,3,4,2,2,1,2,5,6,1,1,1,,생물교육과,2,19,1
1,1,5,4,4,4,4,4,1,1,3,,5,5,3,4,1,1,2,2,1,2,3,1,1,3,1,1,1,4,17,3,3,1,1,4,5,2,2,2,,생물교육과,2,19,1
1,1,,4,3,3,4,3,1,1,3,,5,2,2,3,1,5,3,2,1,2,7,1,2,1,1,1,1,4,17,3,3,1,4,7,3,1,1,1,,생물교육과,2,19,1
1,2,,4,3,3,3,3,1,1,3,,6,4,2,4,1,1,2,1,1,2,6,1,1,2,1,1,1,18,4,2,2,3,1,3,2,2,2,2,"주기적인 통지와 적극적인 홍보 통해 많은 정보수집, 학생들의 의견 수립",생물교육과,1,20,2
1,3,,4,4,4,4,4,1,1,1,,5,4,3,4,1,1,1,4,1,2,7,2,3,3,2,3,3,2,1,2,2,2,3,1,2,3,1,1,,생물교육과,1,19,2
1,2,5,5,5,5,5,5,1,2,4,,5,5,4,3,5,2,2,3,1,3,9,1,1,3,1,1,1,9,16,2,2,3,4,2,7,2,2,2,,생물교육과,1,20,2
4,3,,3,4,3,4,3,3,,,,5,5,4,4,1,4,1,2,1,3,6,1,3,3,1,1,17,18,4,3,3,3,4,3,6,3,1,1,,생물교육과,1,22,2
1,2,,4,4,3,4,3,1,1,1,,6,5,4,4,1,4,1,2,1,7,3,1,2,3,1,1,1,12,7,3,3,1,5,4,7,1,1,1,,생물교육과,2,19,2
1,1,,5,4,5,4,4,1,1,1,,6,3,3,3,5,3,3,2,1,2,3,1,2,4,1,1,1,10,17,2,2,2,4,3,6,1,3,2,,생물교육과,1,19,2
1,2,6,4,4,4,3,4,1,1,1,,1,5,4,3,1,7,3,2,1,7,8,1,2,3,1,1,10,9,19,2,2,4,6,5,4,2,2,2,진로상담을 잘 들어주고 그에 맞는 맞춤형 지원을 해 줬으면 한다.,생물교육과,1,21,2
1,3,3,4,3,3,3,3,1,1,1,,5,1,4,3,1,2,1,3,1,2,3,6,2,2,1,1,13,10,17,3,2,4,2,4,5,1,1,1,,생물교육과,2,19,2
6,1,,3,2,2,4,3,2,4,,7,5,5,4,3,1,4,4,1,6,10,2,1,3,3,4,3,10,13,19,2,2,4,1,4,5,3,3,3,,생물교육과,1,20,2
1,2,,4,4,4,3,3,1,1,1,,5,3,4,3,1,5,3,2,1,2,7,1,3,1,1,1,12,17,7,3,3,1,1,4,2,2,1,1,,생물교육과,1,19,2
1,1,,4,5,4,5,5,1,1,4,,5,5,4,3,4,2,1,2,1,2,3,1,1,4,1,1,1,4,9,3,3,1,4,3,2,4,2,2,,생물교육과,2,20,3
1,2,,5,5,4,5,4,1,1,4,,5,5,4,2,2,5,4,3,1,2,7,1,1,3,1,1,13,1,17,1,1,5,2,6,7,3,3,3,취업지원을 위해 사교육 지원이 필요하다고 생각한다.,생물교육과,2,22,3
1,4,5,5,3,2,5,3,1,1,3,,5,3,4,3,4,2,1,2,1,3,3,1,1,3,1,1,4,17,19,3,3,1,4,3,6,2,2,2,,생물교육과,2,20,3
1,1,,5,4,4,5,5,1,1,3,,1,3,3,3,4,5,1,2,1,3,2,3,2,2,1,1,1,10,13,2,3,3,4,7,3,4,1,1,사교육지원,생물교육과,2,20,3
1,2,,5,4,5,5,3,1,1,4,,5,3,5,4,4,5,1,2,1,6,3,1,2,2,1,1,1,4,8,2,4,3,3,7,2,2,1,1,,생물교육과,1,20,3
1,3,,4,4,2,4,4,1,2,4,2,5,5,4,4,1,1,1,3,1,2,3,1,1,4,1,1,1,3,6,3,3,1,2,1,7,2,2,2,,생물교육과,2,21,3
1,3,,4,3,3,4,4,1,1,4,,3,5,4,4,4,5,1,2,1,2,7,1,2,3,1,1,12,7,4,3,4,1,2,4,6,2,1,1,,생물교육과,1,22,3
4,3,,4,4,4,4,4,1,2,4,,1,3,5,3,4,5,3,2,1,2,6,2,2,4,1,6,15,19,1,2,6,4,2,1,1,2,2,사범대의 경우 임용외에 각 전공에 관련하여 진출할 수 있는 기업(회사)정보,,생물교육과,2,20,3
2,1,,4,4,3,5,4,1,1,1,,5,3,2,3,4,7,2,2,1,2,4,1,2,3,1,1,19,4,9,2,2,1,6,7,4,4,1,1,,생물교육과,2,20,3
1,2,,5,4,4,5,4,1,1,3,,5,5,4,3,4,5,1,2,1,3,7,9,1,3,1,1,1,4,12,2,3,4,4,6,2,1,1,1,,생물교육과,2,21,3
1,2,,4,4,4,4,4,1,1,3,,2,5,5,3,1,1,1,2,1,3,2,1,1,4,4,1,1,4,19,5,3,1,2,4,5,2,2,2,,생물교육과,1,23,3
1,2,,4,4,4,4,4,1,1,3,,6,3,2,3,5,1,2,1,1,2,3,1,2,4,1,1,13,1,2,2,4,1,2,3,6,4,1,1,,생물교육과,2,21,3
1,1,,4,5,5,5,4,1,1,3,,6,4,3,3,5,1,2,2,1,2,3,1,2,3,1,1,1,3,4,3,3,4,6,2,4,1,2,2,,생물교육과,2,21,3
3,2,,4,4,2,4,3,1,3,4,,6,5,5,3,1,3,1,2,1,2,6,1,1,4,1,1,13,7,4,3,3,3,7,2,6,2,2,2,여러가지 프로그램 지원,생물교육과,2,20,3
1,3,,4,4,4,4,4,1,1,3,,5,5,4,3,1,1,1,3,1,2,6,1,2,3,1,1,1,4,7,3,2,1,3,5,7,1,2,2,,생물교육과,2,21,3
2,2,,4,4,4,4,4,1,4,4,,5,3,3,3,4,2,6,2,1,3,5,5,3,3,3,3,1,13,3,2,2,2,1,4,6,2,1,1,,생물교육과,2,22,4
4,1,,5,5,5,1,1,1,,4,,5,5,1,1,4,2,4,2,1,8,10,3,1,3,4,4,10,12,14,1,1,4,2,4,6,5,2,2,,생물교육과,1,27,4
1,2,,4,4,4,3,3,1,1,1,,5,5,3,4,1,1,1,1,1,2,7,1,1,2,1,1,,,,2,3,1,1,2,3,2,2,2,,생물교육과,1,27,4
4,3,,4,5,3,3,4,1,1,3,,3,2,3,2,3,7,4,2,1,2,6,3,2,3,4,2,2,4,15,2,1,4,2,4,1,1,3,3,,생물교육과,1,23,4
1,2,,4,5,4,4,4,1,1,5,,5,3,4,3,4,7,1,2,1,2,7,9,2,3,4,1,10,7,17,2,2,5,2,7,1,2,2,2,,생물교육과,1,25,4
1,2,,5,5,5,5,5,1,1,1,,5,3,4,3,4,2,1,2,1,2,3,1,2,1,1,1,1,8,17,3,3,2,1,2,3,4,2,2,"경제적 지원, 진로의 다양도에 대한 지원",생물교육과,2,22,4
1,3,6,4,4,4,5,4,3,1,4,6,6,3,5,3,1,6,7,3,1,2,11,1,2,1,1,1,19,12,14,2,2,4,6,5,2,1,2,2,,생물교육과,2,21,4
1,1,5,5,5,5,5,5,1,1,1,,5,1,2,3,4,1,2,2,1,2,11,1,2,3,1,1,1,2,3,2,2,1,1,2,3,1,2,2,"문제풀이, 문제중심설명",생물교육과,1,27,4
1,1,,5,3,3,4,3,1,1,3,6,4,4,3,6,4,1,1,1,2,,1,3,2,1,1,1,13,17,2,3,1,2,3,4,2,1,1,1,,생물교육과,1,24,4
3,2,,2,4,5,5,4,2,4,,4,5,3,5,2,3,3,5,1,11,6,7,1,1,1,1,3,2,12,10,2,2,4,3,2,6,4,1,1,,생물교육과,2,22,4
1,3,6,4,4,3,4,3,1,1,3,,5,1,5,2,1,4,2,3,1,2,3,3,2,1,1,1,1,17,19,2,4,1,1,4,5,2,2,2,,생물교육과,1,24,4
1,4,6,4,5,3,5,3,1,1,4,,6,5,4,3,4,1,1,1,1,2,6,1,1,3,1,1,17,7,10,2,1,1,2,6,5,2,1,1,,생물교육과,1,24,4
4,3,,3,3,3,3,3,1,3,4,,1,4,3,3,4,2,1,1,1,2,3,9,3,3,1,1,1,4,3,3,4,1,2,1,4,3,2,2,,생물교육과,2,22,4
3,1,,5,5,5,5,5,1,,5,,3,5,1,5,1,4,2,4,1,1,3,8,1,1,3,4,1,6,11,12,1,4,2,3,6,1,2,2,,생물교육과,1,24,4
1,2,,5,5,5,5,5,1,1,1,2,3,1,2,1,3,4,2,1,2,3,1,1,1,1,1,1,2,3,4,4,3,2,4,3,2,3,3,3,,생물교육과,1,24,4
1,2,,4,4,4,4,4,1,1,1,,2,3,1,2,1,3,4,2,1,2,3,1,1,3,1,4,1,3,4,3,3,3,2,4,3,3,3,3,,생물교육과,1,24,4
1,2,6,3,5,5,4,5,1,3,5,,5,4,4,2,5,5,4,1,1,2,6,3,2,3,1,1,4,10,17,2,2,2,4,3,6,1,2,2,,생물교육과,2,21,4
1,1,,5,5,5,5,2,1,1,4,,5,4,2,3,1,2,4,1,1,7,8,1,3,1,1,1,16,17,1,4,3,1,2,3,5,2,1,1,,체육교육과,1,20,1
1,1,,4,4,4,5,4,1,1,1,,5,5,3,4,5,5,1,2,1,2,5,1,1,3,4,1,1,4,17,3,3,1,1,4,5,3,1,1,,체육교육과,1,18,1
1,3,,4,4,4,4,4,1,1,4,,5,3,4,4,5,3,1,3,2,1,3,1,2,2,1,1,4,1,13,3,4,1,3,2,1,3,1,1,,체육교육과,2,18,1
3,3,,3,4,4,4,3,3,2,,4,1,5,4,2,1,3,1,2,1,6,10,8,1,3,4,3,7,12,17,2,3,1,5,6,7,4,2,2,,체육교육과,1,18,1
1,3,,4,4,4,4,4,1,1,1,,1,6,4,3,5,1,3,3,1,2,6,1,1,4,1,1,7,9,19,3,3,5,3,2,4,3,1,1,,체육교육과,2,19,1
2,4,3,3,4,3,1,4,3,4,,2,5,5,4,3,1,5,5,2,5,6,2,1,1,4,1,3,9,7,6,3,3,2,2,4,1,3,1,1,,체육교육과,2,19,1
5,1,,4,4,4,5,4,1,1,1,,5,3,4,3,1,1,5,2,1,5,10,1,1,1,1,1,19,12,10,2,4,4,1,5,6,1,2,1,,체육교육과,1,18,1
1,3,,4,4,4,4,4,1,1,1,,6,5,2,2,1,3,1,1,1,2,7,1,2,3,1,1,4,17,1,3,3,1,4,6,7,4,1,1,,체육교육과,1,19,1
1,2,,5,5,5,5,5,1,1,4,,6,2,3,3,5,2,4,1,1,2,5,1,1,5,1,1,1,4,12,3,2,3,2,1,5,2,2,2,상담 및 지원금,체육교육과,1,19,1
1,1,,5,5,5,5,5,1,1,3,,5,4,3,4,5,5,1,2,1,2,9,1,1,2,1,1,1,17,12,2,3,3,2,4,6,2,1,1,,체육교육과,1,22,1
1,2,,5,5,5,5,5,1,1,3,,5,2,3,4,1,5,2,1,1,2,5,1,1,2,1,1,1,4,5,2,3,1,2,4,3,2,1,1,,체육교육과,1,18,1
1,1,,4,4,4,4,4,1,1,3,,1,3,3,4,1,5,1,2,1,3,5,1,2,3,1,1,10,13,17,3,2,1,4,2,5,3,1,1,,체육교육과,2,18,1
1,1,,5,5,5,5,5,1,1,3,,5,5,2,2,1,1,3,2,1,2,3,1,1,4,1,1,1,3,5,2,2,1,1,3,4,2,2,2,,체육교육과,1,19,1
1,3,,4,4,3,4,3,1,1,1,,5,5,3,3,5,1,3,1,1,2,3,6,1,1,4,1,1,19,17,2,3,4,3,4,7,2,2,2,,체육교육과,1,19,1
1,3,,3,4,4,3,4,1,1,4,,5,5,4,3,1,1,1,2,1,2,7,1,2,2,1,1,1,10,8,2,2,2,3,4,5,2,2,2,,체육교육과,1,18,1
5,1,,4,5,5,5,5,1,1,4,,5,4,4,4,1,7,2,2,1,5,3,1,1,4,1,1,17,1,7,4,4,1,5,4,3,3,2,2,,체육교육과,2,19,2
1,1,,4,5,4,3,4,1,1,1,,5,5,5,3,1,1,1,2,1,2,7,1,2,3,4,1,1,5,4,2,2,1,2,5,7,3,1,1,,체육교육과,1,19,2
1,1,3,4,4,4,4,4,1,1,1,,5,5,4,3,3,5,2,2,1,2,8,1,3,4,1,1,5,6,11,3,3,3,9,3,6,3,2,2,,체육교육과,1,20,2
1,3,3,5,5,3,5,3,1,1,3,,1,4,4,2,1,1,4,2,1,3,4,1,2,2,2,1,3,4,10,4,4,2,2,7,4,5,1,1,,체육교육과,1,21,2
4,2,3,3,5,4,4,5,1,1,4,,1,5,2,3,5,3,1,2,1,3,2,3,1,2,1,1,1,10,13,2,2,3,2,4,6,4,1,1,,체육교육과,1,21,2
5,3,,4,4,4,4,4,1,1,1,,5,4,2,2,9,2,3,1,1,3,6,1,3,3,1,1,1,3,5,3,3,4,1,3,5,3,2,2,,체육교육과,1,21,2
1,2,5,5,5,4,4,3,1,1,3,,5,5,4,4,5,5,1,2,1,2,6,1,1,2,4,3,19,4,15,2,2,1,2,5,6,1,1,1,,체육교육과,1,19,2
1,2,,5,5,5,4,3,1,1,1,,5,5,3,4,5,1,3,1,1,5,2,1,1,3,1,1,1,4,14,3,3,1,4,5,6,3,1,1,,체육교육과,1,49,2
1,2,6,3,5,4,5,3,1,1,3,,6,5,4,2,5,2,7,3,1,2,6,3,1,3,1,1,12,4,1,3,3,1,4,7,3,1,1,1,,체육교육과,1,20,2
5,2,,4,5,5,5,5,1,3,4,,5,3,4,3,5,1,1,1,1,2,3,1,3,3,3,1,4,17,19,3,3,1,5,3,1,1,1,1,,체육교육과,1,20,2
5,1,,5,5,5,5,5,1,1,1,,3,5,2,3,3,1,4,1,1,2,,9,3,4,1,1,4,1,8,3,3,1,2,7,3,4,2,2,,체육교육과,1,20,2
1,1,,5,4,3,5,3,1,1,3,,1,5,2,2,4,1,2,1,1,10,11,1,1,2,1,1,10,19,12,4,4,2,6,4,2,3,1,1,,체육교육과,1,19,2
4,2,,4,4,5,4,5,1,1,4,,1,5,4,3,5,5,1,2,1,2,3,1,2,4,1,1,17,4,19,2,2,1,4,7,3,2,2,2,,체육교육과,1,21,2
1,1,6,5,4,4,5,4,1,1,3,,5,4,4,2,1,1,4,1,1,2,3,1,1,4,1,1,17,4,12,3,2,6,2,5,3,3,1,1,많은 대학생들이 경제적인 문제를 안고서 공부를 하기 때문에 될 수 있으면 경제적 지원이 있었으면 좋겠습니다.,체육교육과,1,21,2
1,2,,3,4,4,3,3,1,1,,,5,5,3,4,1,3,4,2,1,2,3,1,2,3,1,1,2,6,1,3,2,3,2,4,5,3,1,1,,체육교육과,1,22,2
1,1,,4,4,4,4,4,1,1,1,,5,3,3,3,1,4,1,2,1,2,3,1,3,3,1,1,1,4,5,3,3,1,1,4,3,5,1,1,,체육교육과,1,24,2
5,1,,5,5,5,5,5,1,1,1,,5,5,4,3,5,1,4,2,1,2,3,1,2,4,1,1,4,1,19,3,4,,3,5,1,3,2,2,,체육교육과,1,19,2
1,1,,5,5,5,5,5,1,1,1,,6,5,2,3,4,1,1,1,1,8,10,1,2,3,1,1,,,,2,3,1,2,4,3,2,1,1,,체육교육과,1,21,2
1,2,,3,3,3,3,3,3,,4,4,5,4,5,4,6,4,1,2,3,8,1,6,2,4,1,3,3,5,7,3,5,2,4,2,3,3,3,1,,체육교육과,1,20,2
5,2,,5,5,5,5,5,1,1,1,,5,4,4,4,1,4,8,1,1,6,,1,2,2,1,1,17,10,13,4,3,5,4,3,4,1,1,1,,체육교육과,1,21,3
5,1,,5,5,5,4,4,1,1,1,,5,5,5,2,3,4,2,2,1,1,2,3,1,1,4,1,1,17,19,2,2,1,2,3,4,3,2,2,,체육교육과,2,22,3
1,1,,5,5,5,5,4,1,1,3,,5,5,4,3,1,1,2,2,1,3,8,1,3,3,1,1,10,13,19,3,3,1,2,3,4,2,1,1,임용정보 많이 주세요,체육교육과,1,22,3
1,1,,5,5,4,5,4,1,1,1,,5,6,4,3,1,5,1,1,1,2,6,1,2,3,1,1,1,12,17,5,5,1,2,4,7,3,1,1,,체육교육과,1,21,3
1,1,5,5,5,5,5,5,1,1,3,5,5,3,4,3,1,1,2,1,6,2,1,2,1,1,1,1,10,9,3,4,1,7,6,2,3,2,2,2,,체육교육과,1,21,3
1,1,,5,5,5,5,5,1,1,1,,1,5,1,2,1,1,1,1,1,2,5,1,2,3,1,1,1,4,17,5,5,1,3,5,7,3,2,2,,체육교육과,1,21,3
1,1,6,5,5,5,5,5,1,1,1,,5,5,2,2,5,7,3,1,1,2,3,1,1,3,1,1,1,2,3,1,1,1,1,2,3,1,1,1,,체육교육과,1,21,3
1,1,,5,5,5,5,5,1,1,4,,5,1,4,5,1,2,2,1,1,2,5,1,2,3,1,1,1,2,4,3,3,1,1,2,3,2,1,1,,체육교육과,1,21,3
